conceptId,fsn,domainId,active,effectiveTime,moduleId,definitionStatusId
1000198,Accounting Research Bulletins - ARB,finance,1,20240101,900000000000012004,900000000000074008
1000199,Accounting Series Releases - ASRs,finance,1,20240101,900000000000012004,900000000000074008
1000200,Accounting Software,finance,1,20240101,900000000000012004,900000000000074008
1000201,Accounting Standard,finance,1,20240101,900000000000012004,900000000000074008
1000202,Accounting Standards Committee - ASC,finance,1,20240101,900000000000012004,900000000000074008
1000203,Accounting Standards Executive Committee - AcSEC,finance,1,20240101,900000000000012004,900000000000074008
1000204,Accounting Theory,finance,1,20240101,900000000000012004,900000000000074008
1000205,Accounting Trends and Techniques \(Publication\),finance,1,20240101,900000000000012004,900000000000074008
1000206,Accounting Valuation,finance,1,20240101,900000000000012004,900000000000074008
1000207,Accounting-Based Incentive,finance,1,20240101,900000000000012004,900000000000074008
1000208,Accounts Payable - AP,finance,1,20240101,900000000000012004,900000000000074008
1000209,Accounts Payable Subsidiary Ledger,finance,1,20240101,900000000000012004,900000000000074008
1000210,Accounts Payable Turnover Ratio,finance,1,20240101,900000000000012004,900000000000074008
1000211,Accounts Receivable \(A/R\) Discounted,finance,1,20240101,900000000000012004,900000000000074008
1000212,Accounts Receivable - AR,finance,1,20240101,900000000000012004,900000000000074008
1000213,Accounts Receivable Aging,finance,1,20240101,900000000000012004,900000000000074008
1000214,Accounts Receivable Conversion \(ARC\),finance,1,20240101,900000000000012004,900000000000074008
1000215,Accounts Receivable Financing,finance,1,20240101,900000000000012004,900000000000074008
1000216,Accounts Receivable Insurance,finance,1,20240101,900000000000012004,900000000000074008
1000217,Accounts Receivable Subsidiary Ledger,finance,1,20240101,900000000000012004,900000000000074008
1000218,Accounts Uncollectible,finance,1,20240101,900000000000012004,900000000000074008
1000219,ACCRA Cost Of Living Index - COLI,finance,1,20240101,900000000000012004,900000000000074008
1000220,Accredited Advisor In Insurance - AAI,finance,1,20240101,900000000000012004,900000000000074008
1000221,Accredited Asset Management Specialist - AAMS,finance,1,20240101,900000000000012004,900000000000074008
1000222,Accredited Automated Clearing House Professional - AAP,finance,1,20240101,900000000000012004,900000000000074008
1000223,Accredited In Business Valuation \(ABV\),finance,1,20240101,900000000000012004,900000000000074008
1000224,Accredited Investor,finance,1,20240101,900000000000012004,900000000000074008
1000225,Accredited Personal Financial Planning Specialist,finance,1,20240101,900000000000012004,900000000000074008
1000226,Accreted Value,finance,1,20240101,900000000000012004,900000000000074008
1000227,Accreting Principal Swap,finance,1,20240101,900000000000012004,900000000000074008
1000228,Accretion,finance,1,20240101,900000000000012004,900000000000074008
1000229,Accretion of Discount,finance,1,20240101,900000000000012004,900000000000074008
1000230,Accretive,finance,1,20240101,900000000000012004,900000000000074008
1000231,Accretive Acquisition,finance,1,20240101,900000000000012004,900000000000074008
1000232,Accrual Accounting,finance,1,20240101,900000000000012004,900000000000074008
1000233,Accrual Bond,finance,1,20240101,900000000000012004,900000000000074008
1000234,Accrual Rate,finance,1,20240101,900000000000012004,900000000000074008
1000235,Accrual Swap,finance,1,20240101,900000000000012004,900000000000074008
1000236,Accruals,finance,1,20240101,900000000000012004,900000000000074008
1000237,Accrue,finance,1,20240101,900000000000012004,900000000000074008
1000238,Accrued Benefits,finance,1,20240101,900000000000012004,900000000000074008
1000239,Accrued Dividend,finance,1,20240101,900000000000012004,900000000000074008
1000240,Accrued Expense,finance,1,20240101,900000000000012004,900000000000074008
1000241,Accrued Income,finance,1,20240101,900000000000012004,900000000000074008
1000242,Accrued Interest,finance,1,20240101,900000000000012004,900000000000074008
1000243,Accrued Interest Adjustment,finance,1,20240101,900000000000012004,900000000000074008
1000244,Accrued Liability,finance,1,20240101,900000000000012004,900000000000074008
1000245,Accrued Market Discount,finance,1,20240101,900000000000012004,900000000000074008
1000246,Accrued Monthly Benefit,finance,1,20240101,900000000000012004,900000000000074008
1000247,Accrued Revenue,finance,1,20240101,900000000000012004,900000000000074008
1000248,Accumulated Benefit Obligation,finance,1,20240101,900000000000012004,900000000000074008
1000249,Accumulated Depreciation,finance,1,20240101,900000000000012004,900000000000074008
1000250,Accumulated Dividend,finance,1,20240101,900000000000012004,900000000000074008
1000251,Accumulated Earnings and Profits,finance,1,20240101,900000000000012004,900000000000074008
1000252,Accumulated Earnings Tax,finance,1,20240101,900000000000012004,900000000000074008
1000253,Accumulated Fund,finance,1,20240101,900000000000012004,900000000000074008
1000254,Accumulated Income,finance,1,20240101,900000000000012004,900000000000074008
1000255,Accumulated Income Payments - AIP,finance,1,20240101,900000000000012004,900000000000074008
1000256,Accumulated Other Comprehensive Income,finance,1,20240101,900000000000012004,900000000000074008
1000257,Accumulated Value,finance,1,20240101,900000000000012004,900000000000074008
1000258,Accumulating Shares,finance,1,20240101,900000000000012004,900000000000074008
1000259,Accumulation,finance,1,20240101,900000000000012004,900000000000074008
1000260,Accumulation Area,finance,1,20240101,900000000000012004,900000000000074008
1000261,Accumulation Bond,finance,1,20240101,900000000000012004,900000000000074008
1000262,Accumulation Option,finance,1,20240101,900000000000012004,900000000000074008
1000263,Accumulation Period,finance,1,20240101,900000000000012004,900000000000074008
1000264,Accumulation Phase,finance,1,20240101,900000000000012004,900000000000074008
1000265,Accumulation Plan,finance,1,20240101,900000000000012004,900000000000074008
1000266,Accumulation Unit,finance,1,20240101,900000000000012004,900000000000074008
1000267,Accumulation/Distribution,finance,1,20240101,900000000000012004,900000000000074008
1000268,Accumulation/Distribution,finance,1,20240101,900000000000012004,900000000000074008
1000269,Accumulative Swing Index \(ASI\),finance,1,20240101,900000000000012004,900000000000074008
1000270,Acid-Test Ratio,finance,1,20240101,900000000000012004,900000000000074008
1000271,Acidizing,finance,1,20240101,900000000000012004,900000000000074008
1000272,Acorn Collective,finance,1,20240101,900000000000012004,900000000000074008
1000273,Acquired Fund Fees and Expenses - AFFE,finance,1,20240101,900000000000012004,900000000000074008
1000274,Acquiree,finance,1,20240101,900000000000012004,900000000000074008
1000275,Acquirer,finance,1,20240101,900000000000012004,900000000000074008
1000276,Acquisition,finance,1,20240101,900000000000012004,900000000000074008
1000277,Acquisition Accounting,finance,1,20240101,900000000000012004,900000000000074008
1000278,Acquisition Adjustment,finance,1,20240101,900000000000012004,900000000000074008
1000279,Acquisition Cost,finance,1,20240101,900000000000012004,900000000000074008
1000280,Acquisition Debt,finance,1,20240101,900000000000012004,900000000000074008
1000281,Acquisition Fee,finance,1,20240101,900000000000012004,900000000000074008
1000282,Acquisition Financing,finance,1,20240101,900000000000012004,900000000000074008
1000283,Acquisition Indigestion,finance,1,20240101,900000000000012004,900000000000074008
1000284,Acquisition Loan,finance,1,20240101,900000000000012004,900000000000074008
1000285,Acquisition Premium,finance,1,20240101,900000000000012004,900000000000074008
1000286,Acquittance,finance,1,20240101,900000000000012004,900000000000074008
1000287,Across The Board,finance,1,20240101,900000000000012004,900000000000074008
1000288,Act Of God,finance,1,20240101,900000000000012004,900000000000074008
1000289,Act of God Bond,finance,1,20240101,900000000000012004,900000000000074008
1000290,Act-as-One Provision,finance,1,20240101,900000000000012004,900000000000074008
1000291,Acting In Concert,finance,1,20240101,900000000000012004,900000000000074008
1000292,Actionable,finance,1,20240101,900000000000012004,900000000000074008
1000293,Active Asset,finance,1,20240101,900000000000012004,900000000000074008
1000294,Active Bond,finance,1,20240101,900000000000012004,900000000000074008
1000295,Active Bond Crowd,finance,1,20240101,900000000000012004,900000000000074008
1000296,Active Box,finance,1,20240101,900000000000012004,900000000000074008
1000297,Active Income,finance,1,20240101,900000000000012004,900000000000074008
1000298,Active Index Fund,finance,1,20240101,900000000000012004,900000000000074008
1000299,Active Investing,finance,1,20240101,900000000000012004,900000000000074008
1000300,Active Management,finance,1,20240101,900000000000012004,900000000000074008
1000301,Active Participant Status,finance,1,20240101,900000000000012004,900000000000074008
1000302,Active Partner,finance,1,20240101,900000000000012004,900000000000074008
1000303,Active Retention,finance,1,20240101,900000000000012004,900000000000074008
1000304,Active Return,finance,1,20240101,900000000000012004,900000000000074008
1000305,Active Risk,finance,1,20240101,900000000000012004,900000000000074008
